Time,FPz,Cz
0.0000,-35.7975,14.9908
7.8125,-21.3264,34.1841
15.6250,-26.2818,25.0903
23.4375,-25.5541,30.0770
31.2500,-26.9865,27.4662
39.0625,-18.6908,25.7856
46.8750,-30.4562,2.4578
54.6875,-26.1742,-3.2792
62.5000,-22.7446,-12.2169
70.3125,-15.6151,-4.5103
78.1250,-20.0341,8.7168
85.9375,-17.3920,14.0989
93.7500,-12.4494,15.0163
101.5625,-11.0360,23.1963
109.3750,-6.4353,40.8210
117.1875,-8.6176,42.7605
125.0000,-7.3137,41.5254
132.8125,-28.5929,11.6461
140.6250,-31.8592,-1.6828
148.4375,-32.6046,-12.7462
156.2500,-28.3041,-16.9363
164.0625,-32.2157,-19.7733
171.8750,-23.8400,-1.1704
179.6875,-29.8622,2.1150
187.5000,-26.7345,13.9820
195.3125,-27.2372,21.3653
203.1250,-14.7933,32.1936
210.9375,-4.8636,37.9487
218.7500,-7.3239,43.2319
226.5625,-17.6058,39.5711
234.3750,-25.2662,20.4452
242.1875,-25.3215,3.2757
250.0000,-29.6829,-4.0846
257.8125,-23.6581,7.1682
265.6250,-36.5515,7.1875
273.4375,-34.3172,30.8957
281.2500,-38.6235,29.2703
289.0625,-34.8867,29.9967
296.8750,-36.3477,20.9091
304.6875,-33.3422,14.1987
312.5000,-39.7751,-3.6957
320.3125,-25.1907,-3.7975
328.1250,-26.2142,-15.1012
335.9375,-27.4596,-18.0156
343.7500,-19.5134,-6.6504
351.5625,-24.7277,-2.6550
359.3750,-27.2525,5.7896
367.1875,-28.4437,8.2537
375.0000,-29.4260,19.6234
382.8125,-42.3297,18.6915
390.6250,-35.2736,27.1717
398.4375,-35.4570,13.6510
406.2500,-30.6567,10.0303
414.0625,-36.4104,1.2235
421.8750,-30.1532,11.3501
429.6875,-33.5741,9.9744
437.5000,-24.4347,20.3867
445.3125,-16.9391,27.1184
453.1250,-8.8536,38.0176
460.9375,-15.2674,42.3304
468.7500,-25.3181,37.5376
476.5625,-25.1714,33.5799
484.3750,-27.0307,22.7451
492.1875,-26.4932,21.3353
500.0000,-35.2283,5.8149
507.8125,-34.0925,2.3998
515.6250,-44.8696,-5.3931
523.4375,-36.3979,6.8599
531.2500,-34.9159,4.8440
539.0625,-29.1889,19.9754
546.8750,-43.0437,11.9465
554.6875,-40.4941,10.5999
562.5000,-44.1786,3.1102
570.3125,-44.3564,0.5129
578.1250,-46.7722,1.7335
585.9375,-45.8846,-7.3679
593.7500,-52.1444,-15.3888
601.5625,-56.5047,-6.9047
609.3750,-50.4932,-1.3480
617.1875,-55.3138,-4.2644
625.0000,-50.0541,8.0103
632.8125,-55.5779,-1.7276
640.6250,-42.5012,9.6934
648.4375,-41.0660,7.7076
656.2500,-39.7592,14.6834
664.0625,-54.5316,9.4593
671.8750,-53.8734,15.5502
679.6875,-57.5498,-0.2895
687.5000,-48.1865,0.0950
695.3125,-45.7768,7.6285
703.1250,-49.7756,9.0503
710.9375,-54.1636,6.3781
718.7500,-60.8420,2.1274
726.5625,-50.4357,12.1300
734.3750,-48.9058,15.6011
742.1875,-46.3933,20.8843
750.0000,-48.8650,20.4684
757.8125,-45.1977,32.8330
765.6250,-48.6424,21.4434
773.4375,-39.9257,22.6565
781.2500,-46.5238,15.7209
789.0625,-31.2342,21.2563
796.8750,-45.1673,5.0140
804.6875,-56.1199,-0.0265
812.5000,-36.8505,-8.1364
820.3125,-30.6434,-8.9722
828.1250,-46.8269,-5.7822
835.9375,-42.1340,7.4853
843.7500,-35.1700,14.5751
851.5625,-44.6196,7.1683
859.3750,-44.2779,11.1084
867.1875,-52.3473,-5.1075
875.0000,-54.7924,-7.6296
882.8125,-57.0312,-18.6185
890.6250,-47.7892,-23.9038
898.4375,-57.9647,-39.3193
906.2500,-54.8843,-24.5159
914.0625,-55.3844,-20.2701
921.8750,-41.5820,-8.6721
929.6875,-49.2205,-0.3952
937.5000,-51.0657,0.8206
945.3125,-50.9887,-2.9247
953.1250,-47.0813,1.0995
960.9375,-42.6837,-1.1707
968.7500,-44.6977,-2.6372
976.5625,-47.9254,-1.8049
984.3750,-59.1768,-14.3346
992.1875,-52.2522,-14.8881
1000.0000,-48.5061,-14.8096
1007.8125,-38.7649,4.8028
1015.6250,-50.1875,0.4847
1023.4375,-41.0473,2.8794
1031.2500,-50.0354,-5.8859
1039.0625,-47.9088,12.8413
1046.8750,-50.8458,11.7891
1054.6875,-51.6756,5.8691
1062.5000,-57.5868,-7.3702
1070.3125,-57.4268,-10.9227
1078.1250,-50.8329,-14.4947
1085.9375,-52.5474,-10.7616
1093.7500,-56.0388,-6.6237
1101.5625,-35.9290,-11.2962
1109.3750,-27.2521,-6.2491
1117.1875,-46.6499,-11.8981
1125.0000,-42.2210,1.5933
1132.8125,-53.3722,-10.5370
1140.6250,-55.5184,-14.9365
1148.4375,-64.3770,-21.7263
1156.2500,-51.7546,-13.7415
1164.0625,-48.0912,-24.6404
1171.8750,-39.2421,-19.8820
1179.6875,-38.3060,-25.1908
1187.5000,-39.0506,-29.0997
1195.3125,-39.3953,-21.3788
1203.1250,-29.5800,2.3757
1210.9375,-27.5513,14.6203
1218.7500,-33.5933,9.7088
1226.5625,-35.5818,11.2542
1234.3750,-37.8704,3.7002
1242.1875,-23.4230,16.8212
1250.0000,-23.4602,18.9911
1257.8125,-13.1020,26.6437
1265.6250,-20.4061,18.2945
1273.4375,-12.9386,28.2857
1281.2500,-3.6956,17.8452
1289.0625,5.5998,23.7223
1296.8750,-9.8781,22.5239
1304.6875,-12.6170,33.2236
1312.5000,-11.8045,41.6477
1320.3125,-14.3103,48.8668
1328.1250,-10.1580,55.0764
1335.9375,-4.5727,50.3448
1343.7500,-10.2047,42.4288
1351.5625,-16.6876,25.4244
1359.3750,5.1860,19.0800
1367.1875,4.3762,18.3523
1375.0000,14.6585,22.7128
1382.8125,12.3185,24.6303
1390.6250,17.4882,37.4946
1398.4375,16.0029,45.1723
1406.2500,14.1310,52.4220
1414.0625,21.5848,59.5457
1421.8750,10.3547,53.5271
1429.6875,15.5856,64.2678
1437.5000,18.1441,57.6800
1445.3125,21.1623,60.4273
1453.1250,14.7851,49.6565
1460.9375,16.6325,49.0357
1468.7500,2.4675,41.0923
1476.5625,10.2635,50.1300
1484.3750,13.0323,53.3844
1492.1875,16.5569,61.0948
1500.0000,6.7215,56.3518
1507.8125,2.2557,60.0701
1515.6250,6.7560,66.6255
1523.4375,14.1114,66.1630
1531.2500,20.2898,60.4261
1539.0625,17.9687,53.8090
1546.8750,26.9570,58.7821
1554.6875,29.2775,58.6634
1562.5000,31.8232,68.7100
1570.3125,19.1246,60.3322
1578.1250,22.3203,65.4460
1585.9375,10.5837,56.0586
1593.7500,12.0161,62.8643
1601.5625,5.5827,50.5666
1609.3750,2.5048,48.0996
1617.1875,-12.2682,38.2008
1625.0000,-3.4932,38.0207
1632.8125,3.0340,35.2744
1640.6250,9.1280,36.4157
1648.4375,14.4605,39.0886
1656.2500,6.1353,31.7288
1664.0625,6.6208,30.8087
1671.8750,2.9486,29.2660
1679.6875,3.3134,29.9498
1687.5000,-10.9444,17.9369
1695.3125,-8.1199,25.8487
1703.1250,-11.6379,13.5590
1710.9375,-8.6792,15.4536
1718.7500,-19.8857,13.5065
1726.5625,-9.6500,22.6511
1734.3750,-13.4647,15.1740
1742.1875,-15.3469,14.9929
1750.0000,-22.8584,8.0825
1757.8125,-24.2212,14.9890
1765.6250,-17.0957,19.1629
1773.4375,-16.6881,7.2615
1781.2500,-7.4450,10.1835
1789.0625,-3.7428,9.5647
1796.8750,-12.7593,11.0921
1804.6875,-21.6901,7.3772
1812.5000,-4.1109,22.8197
1820.3125,-1.7906,25.6895
1828.1250,1.3084,36.3352
1835.9375,-6.3278,26.7427
1843.7500,2.2794,28.9061
1851.5625,-7.7759,19.2863
1859.3750,-9.5374,16.8423
1867.1875,-16.6799,2.2021
1875.0000,-17.6860,-0.0564
1882.8125,-11.9214,1.1418
1890.6250,-7.0377,6.3432
1898.4375,-5.3423,24.4962
1906.2500,-6.5533,28.6075
1914.0625,-2.7595,31.9585
1921.8750,-1.8675,33.6332
1929.6875,8.6427,39.6140
1937.5000,3.0791,24.9477
1945.3125,13.8752,25.1278
1953.1250,9.4482,13.6831
1960.9375,16.4577,30.0762
1968.7500,14.9520,20.1212
1976.5625,19.9601,14.4140
1984.3750,12.4039,4.8901
1992.1875,8.8509,3.3146
2000.0000,6.4655,9.3191
2007.8125,2.2632,22.7744
2015.6250,1.8056,31.9887
2023.4375,5.5148,39.6561
2031.2500,4.6391,42.0108
2039.0625,8.3073,28.7472
2046.8750,27.1132,32.3399
2054.6875,25.2489,32.5587
2062.5000,38.4241,44.0601
2070.3125,32.5652,38.8787
2078.1250,28.7605,50.5189
2085.9375,23.8712,54.6090
2093.7500,33.9508,74.4306
2101.5625,27.3721,73.2303
2109.3750,33.1977,75.9609
2117.1875,31.0751,76.6258
2125.0000,36.2403,82.4705
2132.8125,35.8776,79.9497
2140.6250,29.4514,72.0399
2148.4375,29.7174,71.9575
2156.2500,19.7936,66.5769
2164.0625,12.9401,63.1463
2171.8750,12.2818,54.0674
2179.6875,28.6682,63.8655
2187.5000,22.5453,52.3036
2195.3125,28.8424,59.6360
2203.1250,24.9483,49.1674
2210.9375,21.2134,37.1874
2218.7500,11.8135,22.8355
2226.5625,27.3218,36.1710
2234.3750,22.9586,26.1838
2242.1875,24.9685,28.3994
2250.0000,22.7271,30.9732
2257.8125,15.9780,26.5194
2265.6250,14.3840,34.8150
2273.4375,8.1927,33.4326
2281.2500,9.2724,30.0497
2289.0625,7.1551,31.6708
2296.8750,18.7636,40.0074
2304.6875,8.5955,32.8671
2312.5000,11.9482,45.3412
2320.3125,9.2566,38.0622
2328.1250,9.3154,41.9950
2335.9375,2.6186,36.0643
2343.7500,13.9478,45.3962
2351.5625,8.6720,35.6981
2359.3750,9.3365,30.9408
2367.1875,17.9216,32.1859
2375.0000,27.9281,42.6558
2382.8125,28.5491,46.6227
2390.6250,24.1495,40.8473
2398.4375,27.5085,40.5970
2406.2500,24.3465,31.4049
2414.0625,26.3570,26.6798
2421.8750,24.0780,22.8473
2429.6875,28.5787,27.8861
2437.5000,16.7248,19.1863
2445.3125,17.6261,34.5306
2453.1250,18.4712,33.9250
2460.9375,27.7098,43.3647
2468.7500,19.8744,43.1566
2476.5625,23.6570,49.0042
2484.3750,24.3366,45.7596
2492.1875,33.5950,52.0467
2500.0000,37.4054,51.7093
2507.8125,27.4076,45.2114
2515.6250,23.5976,44.4987
2523.4375,30.7728,52.8330
2531.2500,38.9729,64.3831
2539.0625,26.8279,49.3782
2546.8750,30.9291,56.7087
2554.6875,11.8367,34.5889
2562.5000,23.2080,40.5926
2570.3125,14.9432,31.1748
2578.1250,25.2901,38.2548
2585.9375,22.2308,27.9860
2593.7500,15.0397,20.8336
2601.5625,-0.9738,13.3946
2609.3750,-9.1891,20.6596
2617.1875,-8.9441,22.6076
2625.0000,-9.8655,31.8660
2632.8125,-2.0178,45.0263
2640.6250,-8.0435,30.0842
2648.4375,-9.4656,32.5312
2656.2500,-17.8797,38.4470
2664.0625,-22.4611,38.6811
2671.8750,-12.4676,7.7331
2679.6875,-3.1065,2.5341
2687.5000,-3.6202,9.6503
2695.3125,3.4198,25.1085
2703.1250,-22.7660,22.3526
2710.9375,-16.0364,37.3681
2718.7500,-24.8608,34.5543
2726.5625,-22.0252,34.3289
2734.3750,-18.1550,20.6345
2742.1875,-28.1122,11.3496
2750.0000,-31.9456,9.9932
2757.8125,-33.2298,0.5780
2765.6250,-26.7877,-2.5275
2773.4375,-23.0843,1.4242
2781.2500,-14.0962,12.3078
2789.0625,-12.3746,13.4933
2796.8750,-11.5437,29.2023
2804.6875,-31.2644,27.6651
2812.5000,-22.3387,40.8322
2820.3125,-21.0623,30.5739
2828.1250,-23.6711,34.7247
2835.9375,-28.2339,35.0074
2843.7500,-34.6884,26.5519
2851.5625,-31.8426,16.0254
2859.3750,-21.1702,26.2478
2867.1875,-25.5062,24.9719
2875.0000,-27.1673,34.2619
2882.8125,-27.0117,32.7357
2890.6250,-13.7396,17.5024
2898.4375,-28.0090,13.5757
2906.2500,-42.5162,14.6018
2914.0625,-33.1616,35.1953
2921.8750,-51.5980,26.0107
2929.6875,-44.0166,31.1713
2937.5000,-58.4174,7.2579
2945.3125,-79.5812,-1.5926
2953.1250,-86.6399,-23.6819
2960.9375,-75.1479,-35.2648
2968.7500,-59.5876,-22.2793
2976.5625,-42.6942,-1.8401
2984.3750,-56.9718,-8.1474
2992.1875,-56.7422,-1.5895
3000.0000,-40.3683,16.3901
3007.8125,-58.2450,5.8418
3015.6250,-68.3849,7.1506
3023.4375,-58.8897,6.9264
3031.2500,-60.0566,-3.0803
3039.0625,-78.6011,-17.0588
3046.8750,-73.7741,-8.7994
3054.6875,-80.2410,-36.4558
3062.5000,-63.5500,-41.4300
3070.3125,-72.7827,-39.8202
3078.1250,-65.5492,-16.2910
3085.9375,-66.9534,-5.7805
3093.7500,-79.9108,7.4052
3101.5625,-71.9284,25.2153
3109.3750,-53.4377,41.9995
3117.1875,-56.3843,40.6409
3125.0000,-58.6740,41.7991
3132.8125,-58.5079,32.0261
3140.6250,-59.9090,4.0081
3148.4375,-52.5565,-10.3687
3156.2500,-52.4931,-21.2197
3164.0625,-39.7670,-11.5447
3171.8750,-44.0518,-11.0890
3179.6875,-50.8325,-8.6197
3187.5000,-66.4058,-15.2519
3195.3125,-64.2583,-1.2093
3203.1250,-76.0359,-16.5004
3210.9375,-74.5153,-13.1298
3218.7500,-78.5793,-11.1429
3226.5625,-74.0877,5.4660
3234.3750,-63.5980,20.0662
3242.1875,-44.7485,20.9480
3250.0000,-36.0654,-0.3010
3257.8125,-39.6159,-33.0906
3265.6250,-28.1269,-33.5772
3273.4375,-14.0683,-13.1163
3281.2500,-1.3701,18.2284
3289.0625,-1.2066,36.7033
3296.8750,3.2457,67.5194
3304.6875,-19.0424,65.4365
3312.5000,-31.9590,46.3148
3320.3125,-55.1389,3.8498
3328.1250,-61.2357,-4.5473
3335.9375,-67.4660,-12.9068
3343.7500,-59.4822,-12.3816
3351.5625,-57.3247,-21.6872
3359.3750,-43.8629,-21.5795
3367.1875,-30.8099,-17.0395
3375.0000,-13.1064,-7.1302
3382.8125,8.9503,21.3803
3390.6250,25.0247,49.5225
3398.4375,31.9583,69.2207
3406.2500,25.6546,64.4298
3414.0625,18.2598,62.1216
3421.8750,-7.6733,40.0735
3429.6875,-1.9743,40.9478
3437.5000,-11.2823,17.0965
3445.3125,-10.6757,8.3795
3453.1250,-14.6276,2.1734
3460.9375,-9.0746,3.2110
3468.7500,-10.7328,4.3903
3476.5625,5.6876,22.3891
3484.3750,21.7277,36.9654
3492.1875,23.2787,48.0808
3500.0000,29.5814,66.1394
3507.8125,36.7636,72.7302
3515.6250,36.9926,74.8620
3523.4375,20.7712,59.7866
3531.2500,11.1433,52.8096
3539.0625,3.3450,34.5289
3546.8750,11.2358,37.6254
3554.6875,6.9439,29.9776
3562.5000,13.0199,35.0844
3570.3125,5.9471,18.9794
3578.1250,14.7125,16.2220
3585.9375,5.5665,11.0815
3593.7500,4.0751,18.5623
3601.5625,6.2626,28.3732
3609.3750,10.8470,36.7487
3617.1875,3.1327,37.3000
3625.0000,-9.6875,38.8751
3632.8125,-13.4895,37.8509
3640.6250,-19.6098,32.5372
3648.4375,-13.9730,36.3224
3656.2500,-15.0689,25.0480
3664.0625,-7.0130,38.6517
3671.8750,-18.3114,21.8548
3679.6875,-5.5366,26.2752
3687.5000,-7.1427,22.0797
3695.3125,-7.1431,27.1273
3703.1250,46.2192,23.4574
3710.9375,58.8876,33.6684
3718.7500,54.2854,30.6449
3726.5625,59.2255,43.0060
3734.3750,51.7271,37.4287
3742.1875,63.0410,45.7091
3750.0000,58.1049,37.5877
3757.8125,59.7242,42.5840
3765.6250,58.5684,40.7865
3773.4375,60.5169,36.1987
3781.2500,60.9086,30.5652
3789.0625,61.8416,28.5157
3796.8750,58.4131,27.7683
3804.6875,59.1750,28.6732
3812.5000,73.1026,47.8507
3820.3125,73.7615,46.8926
3828.1250,79.3568,56.3985
3835.9375,75.4617,48.6064
3843.7500,76.0924,50.1548
3851.5625,77.0116,52.2460
3859.3750,84.8422,64.3358
3867.1875,71.5767,52.7317
3875.0000,80.5075,57.6141
3882.8125,72.9193,47.5551
3890.6250,75.8874,54.6998
3898.4375,75.5117,56.3821
3906.2500,73.8873,57.5967
3914.0625,78.0951,63.9252
3921.8750,69.4035,56.2702
3929.6875,70.7617,52.8659
3937.5000,74.9539,48.5830
3945.3125,72.5295,49.1878
3953.1250,65.4908,37.4198
3960.9375,71.6776,42.9618
3968.7500,73.3119,41.9350
3976.5625,81.3640,45.6098
3984.3750,71.8045,33.1473
3992.1875,74.4928,42.4745
4000.0000,62.9904,34.7680
4007.8125,67.7693,40.2762
4015.6250,60.8079,42.0038
4023.4375,63.4795,45.6758
4031.2500,68.9664,39.9485
4039.0625,71.3709,34.0294
4046.8750,87.1335,30.6570
4054.6875,117.4129,22.2621
4062.5000,197.6155,29.1827
4070.3125,284.9942,49.4752
4078.1250,355.4568,67.0755
4085.9375,391.3994,60.4905
4093.7500,402.3068,72.3407
4101.5625,376.0045,55.9460
4109.3750,354.4849,52.7376
4117.1875,308.4607,34.0828
4125.0000,282.1581,25.9074
4132.8125,254.2573,27.6061
4140.6250,233.5261,38.0759
4148.4375,201.6547,29.4602
4156.2500,173.7948,29.6216
4164.0625,147.4305,36.1592
4171.8750,124.2321,38.8203
4179.6875,113.4591,44.1156
4187.5000,97.1767,42.8389
4195.3125,96.3101,54.1542
4203.1250,92.4075,52.9420
4210.9375,99.6328,61.4476
4218.7500,85.7007,54.0320
4226.5625,79.6091,54.4559
4234.3750,74.4347,44.2908
4242.1875,90.2771,61.3479
4250.0000,75.5413,52.6081
4257.8125,59.6121,52.9372
4265.6250,56.9147,50.8368
4273.4375,49.8703,48.7198
4281.2500,40.7639,44.6532
4289.0625,35.6934,35.9281
4296.8750,27.5897,36.7843
4304.6875,22.3923,33.9331
4312.5000,22.8090,32.9743
4320.3125,19.7572,28.5946
4328.1250,28.3202,44.4401
4335.9375,16.9976,37.4563
4343.7500,24.4607,48.1077
4351.5625,28.1388,50.9303
4359.3750,40.2286,58.2122
4367.1875,29.7456,53.9045
4375.0000,27.9047,54.7103
4382.8125,24.9394,45.3233
4390.6250,20.7639,53.4506
4398.4375,7.2590,47.1159
4406.2500,6.8576,47.5443
4414.0625,12.5595,54.8687
4421.8750,13.2587,54.2914
4429.6875,14.4524,61.5670
4437.5000,16.1649,62.1844
4445.3125,29.0466,68.2367
4453.1250,30.2140,61.8553
4460.9375,35.0655,73.8101
4468.7500,27.3786,73.9125
4476.5625,54.5388,78.0826
4484.3750,43.5747,66.8793
4492.1875,40.1801,69.9309
4500.0000,35.6459,61.2380
4507.8125,30.6584,62.7019
4515.6250,23.1466,47.9749
4523.4375,26.9961,50.6456
4531.2500,27.2337,59.9094
4539.0625,22.3655,57.5798
4546.8750,31.5461,67.9314
4554.6875,33.6582,63.8950
4562.5000,35.9456,66.2235
4570.3125,29.4214,57.8306
4578.1250,31.9601,58.3519
4585.9375,25.9749,55.1605
4593.7500,27.1159,68.0149
4601.5625,23.5660,63.8661
4609.3750,34.0124,63.3641
4617.1875,19.4111,52.2471
4625.0000,24.3346,59.2441
4632.8125,28.7392,58.1666
4640.6250,33.9294,66.5070
4648.4375,32.1561,68.9626
4656.2500,27.8263,77.2801
4664.0625,21.7364,84.6116
4671.8750,15.6040,77.1618
4679.6875,19.9577,81.6459
4687.5000,19.3759,77.7509
4695.3125,18.0543,72.5475
4703.1250,12.1993,61.1806
4710.9375,25.5765,74.9545
4718.7500,11.0933,58.8305
4726.5625,23.1645,69.1734
4734.3750,26.0565,74.6605
4742.1875,26.5373,82.2287
4750.0000,27.4676,86.9194
4757.8125,29.3260,89.0380
4765.6250,20.9215,73.9062
4773.4375,27.4808,67.2122
4781.2500,20.5213,65.7405
4789.0625,21.0163,67.7643
4796.8750,24.5986,58.2899
4804.6875,16.1541,48.2720
4812.5000,28.3718,67.2831
4820.3125,17.8837,57.8092
4828.1250,14.3508,61.2791
4835.9375,10.3252,58.2875
4843.7500,17.6698,60.8285
4851.5625,14.0935,59.3160
4859.3750,21.4726,74.4414
4867.1875,12.7458,64.6770
4875.0000,13.3527,60.2111
4882.8125,4.0389,48.4927
4890.6250,-1.9890,44.8394
4898.4375,2.0672,49.4289
4906.2500,6.7134,57.0159
4914.0625,1.8421,59.2182
4921.8750,5.1656,65.3104
4929.6875,13.2406,83.4612
4937.5000,8.5590,85.8502
4945.3125,18.1677,93.4539
4953.1250,14.0126,79.6972
4960.9375,27.6240,82.0932
4968.7500,21.2543,56.7491
